Region,Participant_IMD,Contact_IMD,Participant_age_group,Contact_age_group,mean,lower,upper
Greater London,1,1,10-14,0-4,0.13617766199557638,0.0192307692678633,0.3079055149550581
North East,1,1,10-14,0-4,0.4691759541355223,0.16120752043298003,0.8792597945139742
North West,1,1,10-14,0-4,0.167838889699241,0.0600271865792111,0.336437604514467
South East,1,1,10-14,0-4,0.10723759985413545,0,0.32231442661792414
South West,1,1,10-14,0-4,0.13695212341644186,0,0.46818347781016983
West Midlands,1,1,10-14,0-4,0.28478762382499,0.10748529399860146,0.516769432627177
Yorkshire and the Humber,1,1,10-14,0-4,0.36157214276490623,0.1525887276903441,0.6328331208795029
East Midlands,1,1,10-14,5-9,0.743784066834728,0.18401713563698713,1.647236630878451
East of England,1,1,10-14,5-9,0.268200374302376,0.0526342025651745,0.583563921868788
Greater London,1,1,10-14,5-9,0.3538584430864255,0.16271327083748086,0.5848418860966933
North East,1,1,10-14,5-9,0.504566284808026,0.2057369240989512,0.9128469491808355
North West,1,1,10-14,5-9,0.7476474912134017,0.4176021689948573,1.145836657826429
South East,1,1,10-14,5-9,0.18557293209690465,0.02985009478238482,0.4081077988927842
South West,1,1,10-14,5-9,0.26981899298992595,0,0.7000884976588543
West Midlands,1,1,10-14,5-9,0.7076421494261086,0.37554073325189846,1.132376353797712
Yorkshire and the Humber,1,1,10-14,5-9,0.45307436221420244,0.22307296010008926,0.7285068460784538
East Midlands,1,1,10-14,10-14,6.170732026619591,0.5710317734113849,20.254861113229857
East of England,1,1,10-14,10-14,0.9850152753365409,0.2855159092633788,2.0458821527251754
Greater London,1,1,10-14,10-14,1.2237049804087474,0.590843027912946,2.205945046990449
North East,1,1,10-14,10-14,2.856751339131232,0.42838348689273964,6.296764797719602
North West,1,1,10-14,10-14,1.535519340308502,0.7233754426853855,3.638486430621012
South East,1,1,10-14,10-14,0.9861690638930362,0.2500018790731148,2.600000217194191
South West,1,1,10-14,10-14,1.4862291931007223,0.200000003319806,3.6666668228684474
West Midlands,1,1,10-14,10-14,2.7045433033540935,0.9787002734395227,5.2559976768759284
Yorkshire and the Humber,1,1,10-14,10-14,3.1377358663250803,1.266576013513136,5.436000065085885
East Midlands,1,1,10-14,15-19,0.7286232975024091,0.16153684821870343,1.6658079957035876
East of England,1,1,10-14,15-19,0.24108843111621417,0.07697438036690431,0.45289955534982074
Greater London,1,1,10-14,15-19,0.3259875185871861,0.14541244321212776,0.5707094087893039
North East,1,1,10-14,15-19,0.3544657511199255,0.1337467330975501,0.642386660009783
North West,1,1,10-14,15-19,0.3735805486838932,0.21155330156858343,0.5859701203755036
South East,1,1,10-14,15-19,0.342806425567344,0.0834674487204395,0.6395032984728913
South West,1,1,10-14,15-19,0.6485892844824276,0.06742981991025924,1.7223594339977724
West Midlands,1,1,10-14,15-19,0.7401117568938301,0.4216080946185678,1.1273514507862403
Yorkshire and the Humber,1,1,10-14,15-19,0.6469055645702689,0.3433405295868293,1.1243671454305164
East Midlands,1,1,10-14,20-24,0.1132143704317019,0,0.32673352978650416
East of England,1,1,10-14,20-24,0.0987481227907052,0,0.2378434485078905
Greater London,1,1,10-14,20-24,0.15895469109332616,0.042838764502584066,0.29684889305773954
North East,1,1,10-14,20-24,0.085142134908356,0,0.25010472129704875
North West,1,1,10-14,20-24,0.11618471800961919,0.046508643804014496,0.20140540438462357
South East,1,1,10-14,20-24,0.0951307205748551,0,0.28481360084430557
South West,1,1,10-14,20-24,0.10127370302314008,0,0.5321172586099571
West Midlands,1,1,10-14,20-24,0.10905453466584691,0.029390756486076978,0.2171207594798517
Yorkshire and the Humber,1,1,10-14,20-24,0.2113666678986716,0.05801163382463317,0.42510069399732814
East Midlands,1,1,10-14,25-29,0.13219076167985866,0,0.4362960903579711
East of England,1,1,10-14,25-29,0.23868922115559385,0.02272727272727275,0.6975117024271674
Greater London,1,1,10-14,25-29,0.14727244821468904,0.04078658573341816,0.27938220307946454
North East,1,1,10-14,25-29,0.18564320249488792,0.02500000002822035,0.4308236311906171
North West,1,1,10-14,25-29,0.16031207675582418,0.07495467932719346,0.2678022173186932
South East,1,1,10-14,25-29,0.08235061115869856,0,0.24791358061252944
South West,1,1,10-14,25-29,0.10607364380567486,0,0.34981418277281257
West Midlands,1,1,10-14,25-29,0.21836951671692195,0.0886468278777263,0.37795525663364066
