Region,Participant_IMD,Contact_IMD,Participant_age_group,Contact_age_group,mean,lower,upper
East Midlands,1,4,35-49,18-25,0.14161049011384805,0.03331032818291684,0.29981783342981383
East Midlands,1,4,35-49,26-34,0.20416034980611583,0.07566593064151134,0.40189451274024346
East Midlands,1,4,35-49,35-49,0.38132078439563216,0.17766511690180095,0.6853753714021011
East Midlands,1,4,35-49,5-11,0.0938370702105081,0.026007884980466328,0.19244069092379415
East Midlands,1,4,35-49,50-69,0.26734196418938766,0.10207488044323049,0.4870434251609594
East Midlands,1,4,35-49,70-79,0.0807861300116818,0.011897840531567115,0.20082437331246705
East Midlands,1,4,35-49,80+,0.02055731896920119,0,0.08528670506379228
East Midlands,1,4,5-11,0-4,0.1625002123713086,0,0.464638058151163
East Midlands,1,4,5-11,12-17,0.3772939328064714,0.019518901621266554,1.1759870978984128
East Midlands,1,4,5-11,18-25,0.17023900426612487,0.026603382890103073,0.3726540735968491
East Midlands,1,4,5-11,26-34,0.09004573795455319,0,0.21090098593973108
East Midlands,1,4,5-11,35-49,0.16595877546720486,0.020236006041413665,0.5013879028933671
East Midlands,1,4,5-11,5-11,0.5357762223882806,0.21499943432543062,0.9773735761920341
East Midlands,1,4,5-11,50-69,0.09812521763126798,0,0.26365890736648095
East Midlands,1,4,5-11,70-79,0.03317781248018566,0,0.11252306948666711
East Midlands,1,4,5-11,80+,0.018406898747022983,0,0.15427165171578303
East Midlands,1,4,50-69,0-4,0.040170663790229405,0,0.14095396014646402
East Midlands,1,4,50-69,12-17,0.03304038021313806,0,0.09525423696130923
East Midlands,1,4,50-69,18-25,0.10853666580242294,0.025529850142471687,0.25777715841596766
East Midlands,1,4,50-69,26-34,0.12013754608377883,0.023924019762948827,0.3345798033351949
East Midlands,1,4,50-69,35-49,0.2227936760059276,0.09138563607799027,0.3831221543724707
East Midlands,1,4,50-69,5-11,0.03345408959458766,0,0.08596778715072896
East Midlands,1,4,50-69,50-69,0.21213632220076342,0.10991902947415982,0.33428789387112023
East Midlands,1,4,50-69,70-79,0.11901938338277161,0.017567842757053205,0.3107621006306434
East Midlands,1,4,50-69,80+,0.017565877477275962,0,0.06383858992484133
East Midlands,1,4,70-79,0-4,0.014625189565277422,0,0.1254467067312436
East Midlands,1,4,70-79,12-17,0.014644235167989466,0,0.10392398695060674
East Midlands,1,4,70-79,18-25,0.05908299112820837,0,0.23649548766779305
